"保存日時","キオクシア","日経平均","フジクラ","NISA","追証","オルカン","高市","弥助"
"2026-07-16 08:30:55","6984","3404","1254","4134","323","1718","12448","68"
"2026-07-17 08:27:39","16960","5053","1064","3423","1022","1519","12349","58"
"2026-07-18 08:26:56","37244","10512","1215","4067","2545","1564","13584","61"
"2026-07-19 08:29:38","6855","1460","543","3043","772","1186","12760","102"
"2026-07-20 08:31:53","4881","1161","503","2966","540","1142","12125","65"
"2026-07-21 08:33:11","5710","1936","512","2922","550","1339","11627","75"
"2026-07-22 08:31:19","13939","4318","858","3196","577","1376","15158","47"
"2026-07-23 08:32:14","9012","4214","1022","3437","466","1608","13757","38"
"2026-07-24 08:30:36","7858","3389","861","3646","237","1520","12746","29"
"2026-07-25 08:34:51","7895","4114","604","3181","326","1350","12374","37"
"2026-07-26 08:32:18","3563","1075","310","3548","140","1271","12187","45"
"2026-07-27 08:31:33","3799","1177","377","3699","","1331","11156","67"
"2026-07-28 08:36:44","12087","4124","1106","3376","283","1381","16106","67"
"2026-07-29 08:32:46","24940","6776","1123","2968","1342","1271","15050","55"
"2026-07-30 08:32:56","24944","5700","1188","3294","237","1323","1905","53"
"2026-07-31 08:35:35","22491","4304","870","3340","1053","1432","16238","26"
"2026-08-01 08:32:29","27687","4602","1158","3661","524","1353","12728","48"
"2026-08-02 08:31:34","5030","1161","276","2970","250","1382","11224","33"
"2026-08-03 08:31:36","5109","1374","352","3192","206","1618","10176","35"
"2026-08-04 08:38:28","11436","3908","760","3800","279","2733","15733","37"
"2026-08-05 08:35:14","7369","3383","1383","3582","168","2282","18081","47"
"2026-08-06 08:32:12","6812","","1432","3391","161","1598","17020","48"
"2026-08-07 10:38:52","6780","3146","2238","3101","182","1730","14975","68"
"2026-08-09 08:00:19","3115","751","970","2624","96","1466","10868","55"
"2026-08-10 08:02:36","2484","818","776","2871","6","1328","11625","75"
"2026-08-11 08:09:05","7071","3006","3671","2799","79","1296","11064","49"
"2026-08-12 08:15:02","4538","1206","2789","2785","87","1313","10986","49"
"2026-08-13 08:12:38","6240","2974","2394","2857","","1696","10480","42"
"2026-08-14 08:14:15","6684","3117","1467","2859","113","1682","11965","84"
"2026-08-15 07:51:59","5085","3010","1160","3402","138","1606","10159","56"
"2026-08-16 07:50:10","1853","901","350","9675","7","1402","11555","32"
"2026-08-17 07:49:26","2006","929","391","2970","98","1422","8884","44"
"2026-08-18 07:52:59","","3478","","3231","170","1309","7827","58"
"2026-08-19 07:53:38","7105","4047","2075","4465","177","1296","8734","54"
"2026-08-20 07:53:55","8025","5135","1490","3371","12","1304","10489","52"
"2026-08-21 07:57:46","4659","3510","1176","3114","10","1232","10027","42"
"2026-08-22 07:53:41","4432","3275","1116","5708","","1231","10672","31"
"2026-08-23 07:50:50","1417","939","248","3050","55","1990","10350","33"
"2026-08-24 07:50:39","1527","773","235","3270","52","1519","8482","70"
"2026-08-25 07:56:26","4268","2972","1191","3119","6","1475","8314","44"
"2026-08-26 07:58:15","3747","3140","1768","3212","116","1243","8946","32"
"2026-08-27 12:30:08","2164","1323","368","863","20","","2141","11"
"2026-08-28 15:16:33","","93","347","990","31","547","2275","11"
"2026-08-29 12:50:49","827","383","82","1177","","546","2588","5"
"2026-08-30 09:36:17","184","","","620","10","","1568","4"
"2026-08-31 09:48:46","1000","678","132","627","16","","","4"
